S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at 25 °C),CO3 (mg/L),HCO3 (mg/L),Cl (mg/L),F (mg/L),SO4 (mg/L),NO3 (mg/L),PO4 (mg/L),Total Hardness (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
139,Rajasthan,Jodhpur,Narnadi,72.9260,26.1540,2023,7.76,16800,0,573,5318,1.40,490,165,0.85,1100,100,207,3450,18,-,-,3.20
140,Rajasthan,Jodhpur,Pariharon Ki Dhani,72.7492,26.1375,2023,7.82,10000,0,744,2907,3.10,1150,95,0.64,600,180,36,2500,9,-,-,36.60
141,Rajasthan,Jodhpur,Raron Ki Dhani,72.7750,26.1940,2023,8.56,18000,120,1086,5530,5.80,502,300,0.22,1300,200,195,3850,16,-,-,72.00
142,Rajasthan,Jodhpur,Salawas,73.0136,26.1427,2023,7.86,13390,0,805,3520,8.90,1150,90,0.76,1600,120,316,2450,8,-,-,74.20
143,Rajasthan,Jodhpur,Sinli,72.7567,26.0313,2023,7.07,23220,0,220,7161,1.35,1780,2,0.22,4800,920,608,3350,53,-,-,1.70
144,Rajasthan,Jodhpur,Bisalpur,73.3140,26.2330,2023,7.56,4580,0,244,1262,0.70,450,65,0.22,880,184,102,740,20,-,-,18.20
145,Rajasthan,Jodhpur,Dangiwas,73.2740,26.2670,2023,7.86,2440,0,390,425,1.70,165,160,0.11,270,52,34,435,12,-,-,28.10
146,Rajasthan,Jodhpur,Karani,72.8250,26.2720,2023,7.48,6580,0,439,1520,4.00,740,75,0.32,400,56,63,1350,4,-,-,28.00
147,Rajasthan,Jodhpur,Salodi,72.8490,26.4130,2023,7.92,3560,0,281,808,1.75,365,60,0.25,600,92,90,550,8,-,-,22.50
148,Rajasthan,Jodhpur,Haripura,72.8672,26.7613,2023,7.95,2050,0,354,404,1.25,135,34,0.01,170,40,17,395,4,-,-,40.00
149,Rajasthan,Jodhpur,Jaychandon Ki Dhano,72.8787,26.6676,2023,8.21,1920,0,366,369,1.20,137,27,0.25,180,32,24,370,4,-,-,13.00
150,Rajasthan,Jodhpur,Osian,72.8964,26.7411,2023,7.72,4025,0,390,1120,1.45,86,50,0.21,550,92,78,680,6,-,-,9.00
151,Rajasthan,Jodhpur,Shirmandi,72.8657,26.7528,2023,8.27,2220,0,415,418,1.20,152,60,0.02,190,28,29,435,5,-,-,7.00
152,Rajasthan,Jodhpur,Phalodi,72.3783,27.1225,2023,7.96,2050,0,427,425,1.65,32,50,0.01,240,32,39,360,6,-,-,11.00
153,Rajasthan,Jodhpur,Pipad City,73.5497,26.3792,2023,7.37,8810,0,512,2836,2.10,185,90,0.22,1100,400,24,1650,9,-,-,18.00
154,Rajasthan,Jodhpur,Benan,73.4210,26.3170,2023,8.50,14540,12,183,4750,1.50,620,42,0.65,2200,400,292,2450,20,-,-,27.79
155,Rajasthan,Jodhpur,Ramrawas,73.3800,26.3690,2023,7.78,4720,0,439,1092,3.70,124,380,0.28,500,84,71,850,3,-,-,48.40
156,Rajasthan,Jodhpur,Kumaro Ki Dhani,72.2000,26.3330,2023,8.10,2270,0,305,496,1.65,174,16,0.02,210,32,32,430,5,-,-,15.00
157,Rajasthan,Jodhpur,Nahar Singh Nagar,72.2860,26.3900,2023,7.85,5020,0,439,1262,1.20,363,50,0.03,490,76,73,950,6,-,-,10.00
158,Rajasthan,Jodhpur,Shergarh,72.2794,26.3198,2023,7.85,3130,0,293,780,1.60,190,44,0.02,270,48,36,600,4,-,-,8.00
159,Rajasthan,Jodhpur,Tinwari,72.8836,26.5447,2023,8.45,930,24,98,148,0.97,101,36,0.01,180,36,22,131,3,-,-,3.40
160,Rajasthan,Karauli,Badh Kamla,76.9250,26.6930,2023,7.75,3160,0,573,461,1.05,340,128,0.01,540,80,83,457,38,-,-,16.00
161,Rajasthan,Karauli,Hindaun,77.0330,26.7330,2023,7.97,3670,0,610,553,1.52,518,14,0.17,330,52,49,692,4,-,-,9.40
162,Rajasthan,Karauli,Hindaun Hs,77.0297,26.7342,2023,7.81,4340,0,964,674,1.12,98,398,0.09,690,100,107,680,2,-,-,11.00
163,Rajasthan,Karauli,Islampur,77.0170,26.7000,2023,8.02,4540,0,988,767,3.90,264,114,0.04,230,32,36,937,3,-,-,29.00
164,Rajasthan,Karauli,Bhauapura,77.1820,26.5420,2023,7.67,1440,0,342,213,0.83,81,63,0.01,250,64,22,207,18,-,-,7.34
165,Rajasthan,Karauli,Bhauapura Hs1,77.1822,26.0000,2023,7.59,1790,0,195,376,0.90,194,0,0.01,280,40,44,282,5,-,-,86.00
